,hoeren.MatrNr,vorraussetzen.VorlNr,Studierende.MatrNr,Studierende.Name,Studierende.Semester
5,28106,5001,28106,Carnap,3
23,28106,5043,28106,Carnap,3
41,28106,5049,28106,Carnap,3
58,27550,5043,27550,Schopenhauer,6
76,27550,5041,27550,Schopenhauer,6
94,27550,5049,27550,Schopenhauer,6
116,30001,5041,30001,Demokrit,4
135,30002,5041,30002,Heraklit,1
154,30003,5041,30003,Parmenides,3
174,30005,5052,30005,Epikur,7
193,30006,5216,30006,Seneca,9
212,30007,5052,30007,MarcAurel,11
231,30008,5052,30008,Plotin,6
250,30009,5022,30009,Diogenes,2
269,30010,5043,30010,Protagoras,1
287,30010,5041,30010,Protagoras,1
305,30010,5049,30010,Protagoras,1
